Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
220	Spectrogram 1	2	1597.082987910	1597.804942323	1629.900	50118.800	0.7220	-56.39	32812.500	Yes - BP, DC		3	
221	Spectrogram 1	2	1598.069509468	1598.786979691	1426.100	54499.200	0.7175	-54.24	32812.500	Yes - BP, DC		3	
222	Spectrogram 1	2	1599.886786151	1600.599772186	1222.400	57758.900	0.7130	-51.70	39609.375	Yes - BP, DC		2	
223	Spectrogram 1	2	1601.295925618	1601.677081675	3769.100	58268.300	0.3812	-49.70	25078.125	Yes - BP, DC		2	
224	Spectrogram 1	2	1604.580276101	1605.275325380	1222.400	57249.600	0.6950	-58.61	25429.688	Yes - BP, DC		2	
225	Spectrogram 1	2	1605.486082259	1606.342562338	1120.500	45942.300	0.8565	-69.35	3867.188	Yes - BP, DC		3	Nice whistle
226	Spectrogram 1	2	1607.131221218	1608.001153864	1120.500	44006.800	0.8699	-66.73	2109.375	Yes - BP, DC		3	
227	Spectrogram 1	2	1608.099258857	1608.928833803	1324.300	56944.000	0.8296	-70.12	10195.312	Yes - BP, DC		3	
228	Spectrogram 1	2	1609.644389643	1610.357375678	1426.100	53073.000	0.7130	-54.85	6445.312	Yes - BP, DC		2	
229	Spectrogram 1	2	1610.527774856	1611.245245080	1018.700	57657.000	0.7175	-54.44	2578.125	Yes - BP, DC		2	
230	Spectrogram 1	2	1612.195334760	1612.728953239	1426.100	37792.900	0.5336	-61.33	1992.188	Yes - BP, DC		3	
231	Spectrogram 1	2	1612.881415661	1613.504717918	1528.000	38505.900	0.6233	-49.18	9960.938	Yes - BP, DC		3	
232	Spectrogram 1	2	1613.603544534	1614.316530569	1833.600	37487.300	0.7130	-65.44	8203.125	Yes - BP, DC		3	
233	Spectrogram 1	2	1614.442087858	1615.074358493	1324.300	58472.000	0.6323	-61.07	1406.250	Yes - BP, DC		2	
234	Spectrogram 1	2	1618.780594059	1619.314212537	1120.500	38913.400	0.5336	-60.50	1757.812	Yes - BP, DC		3	
235	Spectrogram 1	2	1619.426317260	1619.740210483	916.800	39015.300	0.3139	-48.67	5625.000	Yes - BP, DC		3	
236	Spectrogram 1	2	1620.066276283	1620.707515295	1018.700	39932.100	0.6412	-58.55	30703.125	Yes - BP, DC		3	
237	Spectrogram 1	2	1622.462658930	1623.112866321	1731.700	43293.700	0.6502	-62.86	1875.000	Yes - BP, DC		3	
238	Spectrogram 1	2	1627.830133232	1628.260615366	18641.800	58981.300	0.4305	-64.68	36679.688	Yes - DC		3	
239	Spectrogram 1	2	1631.489142766	1631.910656522	19660.400	59286.900	0.4215	-66.32	30585.938	Yes - DC		2	
240	Spectrogram 1	2	1631.480174388	1631.551921410	2343.000	16706.300	0.0717	-68.27	3398.438	No		2	
241	Spectrogram 1	2	1633.175569118	1633.610535441	21494.100	58166.400	0.4350	-73.43	25664.062	Yes - DC		3	
242	Spectrogram 1	2	1636.251722702	1636.610457813	22207.100	58981.300	0.3587	-73.63	30703.125	Yes - DC		3	
243	Spectrogram 1	2	1641.078605218	1641.459761274	19864.200	58166.400	0.3812	-71.13	36679.688	Yes - DC		3	
244	Spectrogram 1	2	1644.145790424	1644.544883236	21595.900	59286.900	0.3991	-67.52	32695.312	Yes - DC		3	
245	Spectrogram 1	2	1648.116489100	1648.425898134	18947.400	56434.600	0.3094	-66.64	36679.688	Yes - DC		3	
246	Spectrogram 1	2	1653.009560669	1653.449011180	7538.200	49915.100	0.4395	-72.84	22734.375	Yes - BP, DC		3	
247	Spectrogram 1	2	1654.498311382	1654.996056350	7028.900	47877.800	0.4977	-69.97	22968.750	Yes - BP, DC		3	
248	Spectrogram 1	2	1666.556562669	1667.390621804	713.100	56434.600	0.8341	-56.35	24140.625	Yes - BP, DC		1	
249	Spectrogram 1	2	1695.277497404	1696.030841139	1528.000	37487.300	0.7533	-76.10	2695.312	Yes - BP, DC		3	
250	Spectrogram 1	2	1699.944623782	1700.415463616	3157.900	45738.500	0.4708	-74.82	23203.125	Yes - BP, DC		3	
251	Spectrogram 1	2	1703.708136881	1704.174492526	5500.800	40645.200	0.4664	-76.47	30937.500	Yes - BP, DC		3	
252	Spectrogram 1	2	1717.064060105	1717.768077762	4380.300	45942.300	0.7040	-66.19	24140.625	Yes - BP, DC		3	
253	Spectrogram 1	2	1719.570721699	1720.368907323	713.100	56129.000	0.7982	-66.12	21679.688	Yes - BP, DC		3	
254	Spectrogram 1	2	1722.866599163	1723.346407375	2037.400	56027.200	0.4798	-68.86	2226.562	Yes - BP, DC		3	
255	Spectrogram 1	2	1725.242124952	1725.789195998	1426.100	58879.500	0.5471	-67.22	2343.750	Yes - BP, DC		3	
256	Spectrogram 1	2	1747.146725413	1747.460618636	1018.700	38302.200	0.3139	-68.19	6914.062	Yes - BP, DC		3	What a miserable sound
257	Spectrogram 1	2	1749.752399286	1750.205302365	1528.000	17011.900	0.4529	-67.28	7734.375	No		3	
258	Spectrogram 1	2	1823.446970043	1823.989556900	814.900	23633.300	0.5426	-64.19	3750.000	Yes - BP, DC		3	
259	Spectrogram 1	2	2088.012663016	2088.348977183	1120.500	58675.700	0.3363	-43.75	39023.438	No		1	
260	Spectrogram 1	2	2088.622512706	2088.707712295	814.900	59490.700	0.0852	-45.28	38320.312	Yes - BP, DC		2	Odd
261	Spectrogram 1	2	2088.896048228	2089.039542273	916.800	58981.300	0.1435	-56.63	1171.875	No		2	
262	Spectrogram 1	2	2090.742341295	2090.908256284	814.900	59083.200	0.1659	-46.35	25898.438	No		2	
263	Spectrogram 1	2	2091.459811518	2091.787157308	509.300	59694.400	0.3273	-46.08	937.500	No		1	
