Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ
82	Spectrogram 1	1	1212.712834340	1214.334492539	7677.200	26344.800	-69.90	1.6217	24960.938	Yes - FJ	10	
83	Spectrogram 1	1	1246.468482329	1248.159233735	8081.200	25617.500	-70.56	1.6908	8203.125	Yes - FJ	9.2	
84	Spectrogram 1	1	1249.865152790	1251.356753189	7758.000	27637.800	-67.66	1.4916	8320.312	Yes - FJ	12.4	
85	Spectrogram 1	1	1251.962309347	1253.210051370	8485.300	27314.500	-69.89	1.2477	12187.500	Yes - FJ	10	
86	Spectrogram 1	1	1255.595253522	1257.212847415	7111.500	26344.800	-69.92	1.6176	7851.562	Yes - FJ	9.9	
87	Spectrogram 1	1	1259.223105832	1260.316404217	7758.000	18586.800	-69.05	1.0933	8085.938	No	10.9	
88	Spectrogram 1	1	1282.501603715	1283.830631864	8162.000	27072.100	-56.68	1.3290	20156.250	Yes - FJ	10.7	
89	Spectrogram 1	1	1289.684149149	1291.309871654	8162.000	26264.000	-72.90	1.6257	14062.500	Yes - FJ	9.6	
90	Spectrogram 1	1	1295.461450046	1297.233487577	8242.800	18344.400	-70.18	1.7720	11250.000	No	15.7	
91	Spectrogram 1	1	1297.760298010	1298.540644812	8808.500	12525.900	-72.77	0.7803	9492.188	No	13	
92	Spectrogram 1	1	1302.797931707	1304.114766937	7677.200	18344.400	-67.98	1.3168	15703.125	No	16.6	
93	Spectrogram 1	1	1303.151526352	1304.488683113	7353.900	19475.700	-67.58	1.3372	15703.125	No	17	
94	Spectrogram 1	1	1321.041896625	1322.618847455	7838.800	26910.500	-72.19	1.5770	18164.062	Yes - FJ	6.8	
95	Spectrogram 1	1	1324.960327726	1326.269034343	7192.300	27072.100	-72.12	1.3087	9843.750	Yes - FJ	6.9	
96	Spectrogram 1	1	1327.388726080	1328.941291073	7758.000	25940.700	-69.38	1.5526	10078.125	Yes - FJ	10	
97	Spectrogram 1	1	1330.508043760	1332.178473635	8000.400	28769.100	-63.59	1.6704	10429.688	Yes - FJ	16.1	
98	Spectrogram 1	1	1331.259940419	1332.954756131	7919.600	17293.800	-63.40	1.6948	10429.688	No	16.3	
99	Spectrogram 1	1	1333.219911553	1334.760283628	7758.000	26506.400	-63.16	1.5404	15585.938	Yes - FJ	16.6	
100	Spectrogram 1	1	1336.141079218	1337.648936842	8727.700	26668.000	-66.63	1.5079	16289.062	Yes - FJ	13	
101	Spectrogram 1	1	1342.740415810	1344.809147698	7838.800	28445.900	-67.00	2.0687	13476.562	Yes - FJ	12.6	
102	Spectrogram 1	1	1351.268225581	1352.812661961	7838.800	26587.200	-65.07	1.5444	11601.562	Yes - FJ	14.6	
103	Spectrogram 1	1	1352.875626863	1354.371291569	8162.000	26344.800	-65.98	1.4957	13945.312	Yes - FJ	13.6	
104	Spectrogram 1	1	1370.740048884	1372.382028615	7515.500	26668.000	-66.04	1.6420	14882.812	Yes - FJ	14.1	
105	Spectrogram 1	1	1378.376769060	1379.900883909	8000.400	26264.000	-75.54	1.5241	15937.500	Yes - FJ	6.1	
106	Spectrogram 1	1	1384.190176169	1385.771191306	7919.600	26425.600	-71.53	1.5810	14882.812	Yes - FJ	10.7	
107	Spectrogram 1	1	1386.954877178	1388.544020927	7677.200	26668.000	-72.95	1.5891	15000.000	Yes - FJ	9.1	
108	Spectrogram 1	1	1393.323552069	1394.835474000	8000.400	27799.400	-75.85	1.5119	9609.375	Yes - FJ	9.4	
109	Spectrogram 1	1	1404.367150240	1405.314133600	8889.300	26748.800	-71.32	0.9470	25312.500	Yes - FJ	14.2	
110	Spectrogram 1	1	1409.101993957	1410.719587851	7838.800	26425.600	-70.79	1.6176	11718.750	Yes - FJ	14	
111	Spectrogram 1	1	1415.332487968	1416.840345592	6626.600	26425.600	-75.57	1.5079	15468.750	Yes - FJ	8.9	
112	Spectrogram 1	1	1436.614929541	1438.228459128	7353.900	26991.300	-72.03	1.6135	12656.250	Yes - FJ	11.6	
113	Spectrogram 1	1	1446.120177563	1447.327276524	8000.400	26506.400	-67.67	1.2071	21210.938	No	16.2	
114	Spectrogram 1	1	1446.866484336	1447.890998579	8404.500	19007.220	-69.49	1.0245	12773.438	No	12.5	
115	Spectrogram 1	1	1449.621527295	1450.645732473	7677.200	19233.300	-72.51	1.0242	11718.750	No	11.1	
116	Spectrogram 1	1	1451.600311559	1452.738317313	7838.800	26102.300	-69.17	1.1380	10312.500	Yes - FJ	14.6	
117	Spectrogram 1	1	1452.063642473	1452.652966881	7030.700	26748.800	-66.92	0.5893	10312.500	No	16.9	
